"RXCUI","DRUG_DESCRIPTION","VOCABULARY","CODE","INDICATION_DESCRIPTION"
103,"mercaptopurine","ICD9CM","202.80","Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
103,"mercaptopurine","ICD9CM","204.0","Lymphoid leukemia, acute"
103,"mercaptopurine","ICD9CM","204.00","Acute lymphoid leukemia, without mention of having achieved remission"
103,"mercaptopurine","ICD9CM","204.1","Lymphoid leukemia, chronic"
103,"mercaptopurine","ICD9CM","204.10","Chronic lymphoid leukemia, without mention of having achieved remission"
110,"oxyquinoline","ICD10CM","L00-L08","Infections of the skin and subcutaneous tissue (L00-L08)"
110,"oxyquinoline","ICD10CM","L08.9","Local infection of the skin and subcutaneous tissue, unspecified"
110,"oxyquinoline","ICD10CM","P39.4","Neonatal skin infection"
110,"oxyquinoline","ICD9CM","680-686.99","INFECTIONS OF SKIN AND SUBCUTANEOUS TISSUE"
110,"oxyquinoline","ICD9CM","686.9","Unspecified local infection of skin and subcutaneous tissue"
149,"acebutolol","ICD10CM","I10","Essential (primary) hypertension"
149,"acebutolol","ICD10CM","I20","Angina pectoris"
149,"acebutolol","ICD10CM","I20.8","Angina of effort"
149,"acebutolol","ICD10CM","I20.9","Angina NOS"
149,"acebutolol","ICD10CM","I21","cardiac infarction"
149,"acebutolol","ICD10CM","I21.9","Acute myocardial infarction, unspecified"
149,"acebutolol","ICD10CM","I22","cardiac infarction"
149,"acebutolol","ICD10CM","I45.9","Conduction disorder, unspecified"
149,"acebutolol","ICD10CM","I47.2","Ventricular tachycardia"
149,"acebutolol","ICD10CM","I49.01","Ventricular fibrillation"
149,"acebutolol","ICD10CM","I49.02","Ventricular flutter"
149,"acebutolol","ICD10CM","I49.9","Arrhythmia (cardiac) NOS"
149,"acebutolol","ICD10CM","N28.9","Disorder of kidney and ureter, unspecified"
149,"acebutolol","ICD10CM","P29.2","Neonatal hypertension"
149,"acebutolol","ICD9CM","401","Essential hypertension"
149,"acebutolol","ICD9CM","401-405.99","HYPERTENSIVE DISEASE"
149,"acebutolol","ICD9CM","401.9","Unspecified essential hypertension"
149,"acebutolol","ICD9CM","410","Acute myocardial infarction"
149,"acebutolol","ICD9CM","410.9","Acute myocardial infarction, unspecified site"
149,"acebutolol","ICD9CM","410.90","Acute myocardial infarction of unspecified site, episode of care unspecified"
149,"acebutolol","ICD9CM","413","Angina pectoris"
149,"acebutolol","ICD9CM","413.9","Other and unspecified angina pectoris"
149,"acebutolol","ICD9CM","426","Conduction disorders"
149,"acebutolol","ICD9CM","426.9","Conduction disorder, unspecified"
149,"acebutolol","ICD9CM","427","Cardiac dysrhythmias"
149,"acebutolol","ICD9CM","427.1","Paroxysmal ventricular tachycardia"
149,"acebutolol","ICD9CM","427.41","Ventricular fibrillation"
149,"acebutolol","ICD9CM","427.9","Cardiac dysrhythmia NOS"
149,"acebutolol","ICD9CM","997.91","Complications affecting other specified body systems, not elsewhere classified, hypertension"
161,"acetaminophen","ICD10CM","A50.05","Early congenital syphilitic rhinitis"
161,"acetaminophen","ICD10CM","E70.29","Other disorders of tyrosine metabolism"
161,"acetaminophen","ICD10CM","F41.1","Anxiety reaction"
161,"acetaminophen","ICD10CM","F41.9","Anxiety disorder, unspecified"
161,"acetaminophen","ICD10CM","F45.41","Pain disorder exclusively related to psychological factors"
161,"acetaminophen","ICD10CM","G43","Migraine"
161,"acetaminophen","ICD10CM","G43.9","Migraine, unspecified"
161,"acetaminophen","ICD10CM","G43.909","Migraine NOS"
161,"acetaminophen","ICD10CM","G44.2","Tension-type headache"
161,"acetaminophen","ICD10CM","G44.20","Tension-type headache, unspecified"
161,"acetaminophen","ICD10CM","G44.209","Tension headache NOS"
161,"acetaminophen","ICD10CM","G89.11","Acute pain due to trauma"
161,"acetaminophen","ICD10CM","G89.18","Other acute postprocedural pain"
161,"acetaminophen","ICD10CM","J00","Acute nasopharyngitis [common cold]"
161,"acetaminophen","ICD10CM","J02.9","Acute pharyngitis, unspecified"
161,"acetaminophen","ICD10CM","J06.9","Acute upper respiratory infection, unspecified"
161,"acetaminophen","ICD10CM","J31.2","Chronic pharyngitis"
161,"acetaminophen","ICD10CM","J34.89","Other specified disorders of nose and nasal sinuses"
161,"acetaminophen","ICD10CM","J44.9","Chronic obstructive airway disease NOS"
161,"acetaminophen","ICD10CM","K08.89","Other specified disorders of teeth and supporting structures"
161,"acetaminophen","ICD10CM","M08.90","Juvenile arthritis, unspecified, unspecified site"
161,"acetaminophen","ICD10CM","M14.80","Arthropathies in other specified diseases classified elsewhere, unspecified site"
161,"acetaminophen","ICD10CM","M15-M19","Osteoarthritis (M15-M19)"
161,"acetaminophen","ICD10CM","M19.9","Osteoarthritis, unspecified site"
161,"acetaminophen","ICD10CM","M19.90","Arthritis NOS"
161,"acetaminophen","ICD10CM","M54","Dorsalgia"
161,"acetaminophen","ICD10CM","M54.6","Pain in thoracic spine"
161,"acetaminophen","ICD10CM","M54.9","Back pain NOS"
161,"acetaminophen","ICD10CM","M79.1","Myalgia"
161,"acetaminophen","ICD10CM","M79.2","Neuralgia and neuritis, unspecified"
161,"acetaminophen","ICD10CM","P28.89","Other specified respiratory conditions of newborn"
161,"acetaminophen","ICD10CM","P54.8","Other specified neonatal hemorrhages"
161,"acetaminophen","ICD10CM","P81.9","Disturbance of temperature regulation of newborn, unspecified"
161,"acetaminophen","ICD10CM","R04.0","Epistaxis"
161,"acetaminophen","ICD10CM","R05","Cough"
161,"acetaminophen","ICD10CM","R06.5","Mouth breathing"
161,"acetaminophen","ICD10CM","R07.0","Pain in throat"
161,"acetaminophen","ICD10CM","R09.3","Abnormal sputum"
161,"acetaminophen","ICD10CM","R09.81","Nasal congestion"
161,"acetaminophen","ICD10CM","R09.82","Postnasal drip"
161,"acetaminophen","ICD10CM","R09.89","Other specified symptoms and signs involving the circulatory and respiratory systems"
161,"acetaminophen","ICD10CM","R10.9","Unspecified abdominal pain"
161,"acetaminophen","ICD10CM","R41.89","Other symptoms and signs involving cognitive functions and awareness"
161,"acetaminophen","ICD10CM","R45.89","Other symptoms and signs involving emotional state"
161,"acetaminophen","ICD10CM","R50.9","Fever NOS"
161,"acetaminophen","ICD10CM","R51","Headache"
161,"acetaminophen","ICD10CM","R52","Acute pain NOS"
161,"acetaminophen","ICD10CM","R68.89","Other general symptoms and signs"
161,"acetaminophen","ICD10CM","R99","Ill-defined and unknown cause of mortality"
161,"acetaminophen","ICD10CM","T78.40","Allergy, unspecified"
161,"acetaminophen","ICD10CM","Y92.009","Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause"
161,"acetaminophen","ICD10CM","Y92.129","Unspecified place in nursing home as the place of occurrence of the external cause"
161,"acetaminophen","ICD10CM","Y92.239","Unspecified place in hospital as the place of occurrence of the external cause"
161,"acetaminophen","ICD10CM","Y92.410","Unspecified street and highway as the place of occurrence of the external cause"
161,"acetaminophen","ICD10CM","Y92.531","Health care provider office as the place of occurrence of the external cause"
161,"acetaminophen","ICD9CM","307.81","Tension headache"
161,"acetaminophen","ICD9CM","338-338.99","PAIN"
161,"acetaminophen","ICD9CM","338.1","Acute pain"
161,"acetaminophen","ICD9CM","339.00","Cluster headache syn NOS"
161,"acetaminophen","ICD9CM","339.02","Chronic cluster headache"
161,"acetaminophen","ICD9CM","339.1","Tension type headache"
161,"acetaminophen","ICD9CM","339.10","Tension headache NOS"
161,"acetaminophen","ICD9CM","346","Migraine"
161,"acetaminophen","ICD9CM","346.9","Migraine, unspecified"
161,"acetaminophen","ICD9CM","346.90","Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus"
161,"acetaminophen","ICD9CM","460","Acute nasopharyngitis"
161,"acetaminophen","ICD9CM","462","Acute pharyngitis"
161,"acetaminophen","ICD9CM","472","Chronic pharyngitis and nasopharyngitis"
161,"acetaminophen","ICD9CM","478.19","Other disease of nasal cavity and sinuses"
161,"acetaminophen","ICD9CM","496","Chronic airway obstruction, not elsewhere classified"
161,"acetaminophen","ICD9CM","715.9","Osteoarthrosis, unspecified whether generalized or localized"
161,"acetaminophen","ICD9CM","715.90","Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
161,"acetaminophen","ICD9CM","716.9","Arthropathy, unspecified"
161,"acetaminophen","ICD9CM","716.90","Arthropathy, unspecified, site unspecified"
161,"acetaminophen","ICD9CM","719.9","Unspecified disorder of joint"
161,"acetaminophen","ICD9CM","719.90","Unspecified disorder of joint, site unspecified"
161,"acetaminophen","ICD9CM","724.1","Pain in thoracic spine"
161,"acetaminophen","ICD9CM","724.2","Lumbago"
161,"acetaminophen","ICD9CM","724.5","Backache NOS"
161,"acetaminophen","ICD9CM","729.0","Rheumatism, unspecified and fibrositis"
161,"acetaminophen","ICD9CM","729.1","Myalgia and myositis, unspecified"
161,"acetaminophen","ICD9CM","729.2","Neuralgia, neuritis, and radiculitis, unspecified"
161,"acetaminophen","ICD9CM","780-789.99","SYMPTOMS"
161,"acetaminophen","ICD9CM","780.60","Fever NOS"
161,"acetaminophen","ICD9CM","780.99","Other general symptoms"
161,"acetaminophen","ICD9CM","784.0","Headache"
161,"acetaminophen","ICD9CM","784.1","Throat pain"
161,"acetaminophen","ICD9CM","784.92","Jaw pain"
161,"acetaminophen","ICD9CM","784.99","Other symptoms involving head and neck"
161,"acetaminophen","ICD9CM","786.2","Cough"
161,"acetaminophen","ICD9CM","799.89","Other ill-defined conditions"
161,"acetaminophen","ICD9CM","799.9","Other unknown and unspecified cause of morbidity and mortality"
161,"acetaminophen","ICD9CM","995.3","Allergy, unspecified, not elsewhere classified"
162,"acetanilide","ICD10CM","R51","Headache"
162,"acetanilide","ICD10CM","R55","Fainting"
162,"acetanilide","ICD9CM","780.0","Alteration of consciousness"
162,"acetanilide","ICD9CM","780.2","Syncope and collapse"
162,"acetanilide","ICD9CM","784.0","Headache"
162,"acetanilide","ICD9CM","784.92","Jaw pain"
167,"acetazolamide","ICD10CM","G40.309","Generalized idiopathic epilepsy and epileptic syndromes, not intractable, without status epilepticus"
167,"acetazolamide","ICD10CM","G40.409","Other generalized epilepsy and epileptic syndromes, not intractable, without status epilepticus"
167,"acetazolamide","ICD10CM","G40.419","Other generalized epilepsy and epileptic syndromes, intractable, without status epilepticus"
167,"acetazolamide","ICD10CM","G40.9","Epilepsy, unspecified"
167,"acetazolamide","ICD10CM","G40.909","Epilepsy NOS"
167,"acetazolamide","ICD10CM","H40","Glaucoma"
167,"acetazolamide","ICD10CM","H40-H42","Glaucoma (H40-H42)"
167,"acetazolamide","ICD10CM","H40.9","Unspecified glaucoma"
167,"acetazolamide","ICD10CM","I50.9","Congestive heart disease"
167,"acetazolamide","ICD10CM","P83.30","Unspecified edema specific to newborn"
167,"acetazolamide","ICD10CM","P90","Convulsions of newborn"
167,"acetazolamide","ICD10CM","Q15.0","Congenital glaucoma"
167,"acetazolamide","ICD10CM","R56.9","Unspecified convulsions"
167,"acetazolamide","ICD10CM","R60.9","Edema, unspecified"
167,"acetazolamide","ICD10CM","T70.20","Unspecified effects of high altitude"
167,"acetazolamide","ICD10CM","T70.29","Alpine sickness"
167,"acetazolamide","ICD9CM","345.9","Epilepsy, unspecified"
167,"acetazolamide","ICD9CM","345.90","Epilepsy, unspecified, without mention of intractable epilepsy"
167,"acetazolamide","ICD9CM","365","Glaucoma"
167,"acetazolamide","ICD9CM","365.9","Glaucoma NOS"
167,"acetazolamide","ICD9CM","428","Heart failure"
167,"acetazolamide","ICD9CM","428.0","CHF NOS"
167,"acetazolamide","ICD9CM","428.9","Heart failure NOS"
167,"acetazolamide","ICD9CM","780.39","Other convulsions"
167,"acetazolamide","ICD9CM","782.3","Edema"
167,"acetazolamide","ICD9CM","993.2","Other and unspecified effects of high altitude"
168,"acetic acid","ICD10CM","B96.89","Other specified bacterial agents as the cause of diseases classified elsewhere"
168,"acetic acid","ICD10CM","B99.9","Unspecified infectious disease"
168,"acetic acid","ICD10CM","H60","Otitis externa"
168,"acetic acid","ICD10CM","H60.9","Unspecified otitis externa"
168,"acetic acid","ICD10CM","H60.90","Unspecified otitis externa, unspecified ear"
168,"acetic acid","ICD10CM","N32.9","Bladder disorder, unspecified"
168,"acetic acid","ICD10CM","N76.0","Acute vaginitis"
168,"acetic acid","ICD10CM","O23.599","Infection of other part of genital tract in pregnancy, unspecified trimester"
168,"acetic acid","ICD9CM","041.9","Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site"
168,"acetic acid","ICD9CM","380","Disorders of external ear"
168,"acetic acid","ICD9CM","380.1","Infective otitis externa"
168,"acetic acid","ICD9CM","380.10","Infec otitis externa NOS"
168,"acetic acid","ICD9CM","380.30","Disorder of pinna, unspecified"
168,"acetic acid","ICD9CM","380.9","Unspecified disorder of external ear"
168,"acetic acid","ICD9CM","596.4","Atony of bladder"
168,"acetic acid","ICD9CM","596.9","Bladder disorder NOS"
168,"acetic acid","ICD9CM","616.1","Vaginitis and vulvovaginitis"
168,"acetic acid","ICD9CM","616.10","Vaginitis and vulvovaginitis, unspecified"
194,"acetylcholine","ICD10CM","R51","Headache"
194,"acetylcholine","ICD9CM","784.0","Headache"
194,"acetylcholine","ICD9CM","784.92","Jaw pain"
197,"acetylcysteine","ICD10CM","D53.1","Other megaloblastic anemias, not elsewhere classified"
197,"acetylcysteine","ICD10CM","E08.9","Diabetes mellitus due to underlying condition without complications"
197,"acetylcysteine","ICD10CM","E84","Cystic fibrosis"
197,"acetylcysteine","ICD10CM","E84.0","Cystic fibrosis with pulmonary manifestations"
197,"acetylcysteine","ICD10CM","E84.11","Meconium ileus in cystic fibrosis"
197,"acetylcysteine","ICD10CM","E84.19","Cystic fibrosis with other intestinal manifestations"
197,"acetylcysteine","ICD10CM","E84.8","Cystic fibrosis with other manifestations"
197,"acetylcysteine","ICD10CM","E84.9","Cystic fibrosis, unspecified"
197,"acetylcysteine","ICD10CM","E85","Amyloidosis"
197,"acetylcysteine","ICD10CM","E85.9","Amyloidosis, unspecified"
197,"acetylcysteine","ICD10CM","J18.9","Pneumonia, unspecified organism"
197,"acetylcysteine","ICD10CM","J20.9","Acute bronchitis, unspecified"
197,"acetylcysteine","ICD10CM","J40","Bronchitis NOS"
197,"acetylcysteine","ICD10CM","J42","Unspecified chronic bronchitis"
197,"acetylcysteine","ICD10CM","J43","Emphysema"
197,"acetylcysteine","ICD10CM","J43.9","Emphysema (lung)(pulmonary) NOS"
197,"acetylcysteine","ICD10CM","J44.9","Chronic obstructive airway disease NOS"
197,"acetylcysteine","ICD10CM","J47","Bronchiectasis"
197,"acetylcysteine","ICD10CM","J47.9","Bronchiectasis NOS"
197,"acetylcysteine","ICD10CM","J80","Acute respiratory distress syndrome"
197,"acetylcysteine","ICD10CM","J98.4","Lung disease NOS"
197,"acetylcysteine","ICD10CM","K29.70","Gastritis, unspecified, without bleeding"
197,"acetylcysteine","ICD10CM","K86.9","Disease of pancreas, unspecified"
197,"acetylcysteine","ICD10CM","L65.9","Nonscarring hair loss, unspecified"
197,"acetylcysteine","ICD10CM","L73.8","Other specified follicular disorders"
197,"acetylcysteine","ICD10CM","N17.0","Acute kidney failure with tubular necrosis"
197,"acetylcysteine","ICD10CM","N99.0","Postprocedural (acute) (chronic) kidney failure"
197,"acetylcysteine","ICD10CM","O04.82","Renal failure following (induced) termination of pregnancy"
197,"acetylcysteine","ICD10CM","P25.8","Other conditions related to interstitial emphysema originating in the perinatal period"
197,"acetylcysteine","ICD10CM","T39.1X1","Poisoning by 4-Aminophenol derivatives, accidental (unintentional)"
197,"acetylcysteine","ICD10CM","T39.1X2","Poisoning by 4-Aminophenol derivatives, intentional self-harm"
197,"acetylcysteine","ICD10CM","T39.1X4","Poisoning by 4-Aminophenol derivatives, undetermined"
197,"acetylcysteine","ICD10CM","T40.4X1","Poisoning by other synthetic narcotics, accidental (unintentional)"
197,"acetylcysteine","ICD10CM","T40.4X2","Poisoning by other synthetic narcotics, intentional self-harm"
197,"acetylcysteine","ICD10CM","T40.4X4","Poisoning by other synthetic narcotics, undetermined"
197,"acetylcysteine","ICD10CM","T50.904","Poisoning by unspecified drugs, medicaments and biological substances, undetermined"
197,"acetylcysteine","ICD10CM","T65.91","Poisoning NOS"
197,"acetylcysteine","ICD10CM","T75.1","Unspecified effects of drowning and nonfatal submersion"
197,"acetylcysteine","ICD10CM","T79.5","Traumatic anuria"
197,"acetylcysteine","ICD10CM","T81.9XXS","Unspecified complication of procedure, sequela"
197,"acetylcysteine","ICD9CM","277.0","Cystic fibrosis"
197,"acetylcysteine","ICD9CM","277.3","Amyloidosis"
197,"acetylcysteine","ICD9CM","277.30","Amyloidosis NOS"
197,"acetylcysteine","ICD9CM","460-519.99","DISEASES OF THE RESPIRATORY SYSTEM"
197,"acetylcysteine","ICD9CM","480-488.99","PNEUMONIA AND INFLUENZA"
197,"acetylcysteine","ICD9CM","486","Pneumonia, organism unspecified"
197,"acetylcysteine","ICD9CM","487.0","Influenza with pneumonia"
197,"acetylcysteine","ICD9CM","490","Bronchitis NOS"
197,"acetylcysteine","ICD9CM","492","Emphysema"
197,"acetylcysteine","ICD9CM","492.8","Other emphysema"
197,"acetylcysteine","ICD9CM","494","Bronchiectasis"
197,"acetylcysteine","ICD9CM","518.89","Other diseases of lung, not elsewhere classified"
197,"acetylcysteine","ICD9CM","519.9","Unspecified disease of respiratory system"
197,"acetylcysteine","ICD9CM","584.5","Acute kidney failure with lesion of tubular necrosis"
197,"acetylcysteine","ICD9CM","769","Respiratory distress syndrome in newborn"
197,"acetylcysteine","ICD9CM","965.4","Poisoning by aromatic analgesics, not elsewhere classified"
197,"acetylcysteine","ICD9CM","977.9","Poison-medicinal agt NOS"
197,"acetylcysteine","ICD9CM","998.9","Unspecified complication of procedure, not elsewhere classified"
197,"acetylcysteine","ICD9CM","V12.60","Personal history of unspecified disease of respiratory system"
272,"activated charcoal","ICD10CM","A04.72","Enterocolitis due to Clostridium difficile, not specified as recurrent"
272,"activated charcoal","ICD10CM","K52.89","Other specified noninfective gastroenteritis and colitis"
272,"activated charcoal","ICD10CM","K58.0","Irritable bowel syndrome with diarrhea"
272,"activated charcoal","ICD10CM","N19","Unspecified kidney failure"
272,"activated charcoal","ICD10CM","P78.3","Noninfective neonatal diarrhea"
272,"activated charcoal","ICD10CM","P92.09","Other vomiting of newborn"
272,"activated charcoal","ICD10CM","P96.0","Congenital renal failure"
272,"activated charcoal","ICD10CM","R11.10","Vomiting NOS"
272,"activated charcoal","ICD10CM","R14.0","Abdominal distension (gaseous)"
272,"activated charcoal","ICD10CM","R14.3","Flatulence"
272,"activated charcoal","ICD10CM","R19.5","Other fecal abnormalities"
272,"activated charcoal","ICD10CM","R19.7","Diarrhea NOS"
272,"activated charcoal","ICD10CM","T50.904","Poisoning by unspecified drugs, medicaments and biological substances, undetermined"
272,"activated charcoal","ICD10CM","T65.91","Poisoning NOS"
272,"activated charcoal","ICD9CM","038","Septicemia"
272,"activated charcoal","ICD9CM","038.9","Unspecified septicemia"
272,"activated charcoal","ICD9CM","586","Renal failure, unspecified"
272,"activated charcoal","ICD9CM","787.3","Flatulence, eructation, and gas pain"
272,"activated charcoal","ICD9CM","787.91","Diarrhea"
272,"activated charcoal","ICD9CM","977.9","Poison-medicinal agt NOS"
281,"aciclovir","ICD10CM","A60.9","Anogenital herpesviral infection, unspecified"
281,"aciclovir","ICD10CM","B00","Herpesviral [herpes simplex] infections"
281,"aciclovir","ICD10CM","B00.1","Herpes simplex labialis"
281,"aciclovir","ICD10CM","B00.4","Herpesviral encephalitis"
281,"aciclovir","ICD10CM","B00.50","Herpesviral ocular disease, unspecified"
281,"aciclovir","ICD10CM","B00.52","Herpesviral keratitis"
281,"aciclovir","ICD10CM","B00.9","Herpes simplex infection NOS"
281,"aciclovir","ICD10CM","B01","Varicella [chickenpox]"
281,"aciclovir","ICD10CM","B01.89","Other varicella complications"
281,"aciclovir","ICD10CM","B01.9","Varicella NOS"
281,"aciclovir","ICD10CM","B02","Zoster [herpes zoster]"
281,"aciclovir","ICD10CM","B02.0","Zoster encephalitis"
281,"aciclovir","ICD10CM","B02.3","Zoster ocular disease"
281,"aciclovir","ICD10CM","B02.30","Zoster ocular disease, unspecified"
281,"aciclovir","ICD10CM","B02.9","Zoster NOS"
281,"aciclovir","ICD10CM","B20","Human immunodeficiency virus [HIV] disease"
281,"aciclovir","ICD10CM","B25","Cytomegaloviral disease"
281,"aciclovir","ICD10CM","B25.8","Other cytomegaloviral diseases"
281,"aciclovir","ICD10CM","B25.9","Cytomegaloviral disease, unspecified"
281,"aciclovir","ICD10CM","B27.00","Gammaherpesviral mononucleosis without complication"
281,"aciclovir","ICD10CM","B27.99","Infectious mononucleosis, unspecified with other complication"
281,"aciclovir","ICD10CM","B99.9","Unspecified infectious disease"
281,"aciclovir","ICD10CM","G04.81","Other encephalitis and encephalomyelitis"
281,"aciclovir","ICD10CM","P35.8","Other congenital viral diseases"
281,"aciclovir","ICD10CM","P39.9","Infection specific to the perinatal period, unspecified"
281,"aciclovir","ICD10CM","R52","Acute pain NOS"
281,"aciclovir","ICD10CM","X58","Exposure to other specified factors"
281,"aciclovir","ICD9CM","001-139.99","INFECTIOUS AND PARASITIC DISEASES"
281,"aciclovir","ICD9CM","052","Chickenpox"
281,"aciclovir","ICD9CM","052.9","Varicella without mention of complication"
281,"aciclovir","ICD9CM","053","Herpes zoster"
281,"aciclovir","ICD9CM","053.2","Herpes zoster with ophthalmic complications"
281,"aciclovir","ICD9CM","053.29","Herpes zoster with other ophthalmic complications"
281,"aciclovir","ICD9CM","053.9","Herpes zoster without mention of complication"
281,"aciclovir","ICD9CM","054","Herpes simplex"
281,"aciclovir","ICD9CM","054.1","Genital herpes"
281,"aciclovir","ICD9CM","054.10","Genital herpes NOS"
281,"aciclovir","ICD9CM","054.2","Herpetic gingivostomatitis"
281,"aciclovir","ICD9CM","054.3","Herpetic meningoencephalitis"
281,"aciclovir","ICD9CM","054.40","Herpes simplex with unspecified ophthalmic complication"
281,"aciclovir","ICD9CM","054.9","Herpes simplex without mention of complication"
281,"aciclovir","ICD9CM","058.29","Other human herpesvirus encephalitis"
281,"aciclovir","ICD9CM","058.89","Other human herpesvirus infection"
281,"aciclovir","ICD9CM","078.5","Cytomegaloviral disease"
281,"aciclovir","ICD9CM","136.9","Unspecified infectious and parasitic diseases"
281,"aciclovir","ICD9CM","338-338.99","PAIN"
281,"aciclovir","ICD9CM","780-789.99","SYMPTOMS"
281,"aciclovir","ICD9CM","780.99","Other general symptoms"
296,"adenosine","ICD10CM","I45.6","Pre-excitation syndrome"
296,"adenosine","ICD10CM","I45.9","Conduction disorder, unspecified"
296,"adenosine","ICD10CM","I47","Paroxysmal tachycardia"
296,"adenosine","ICD10CM","I47.1","Supraventricular tachycardia"
296,"adenosine","ICD10CM","I47.2","Ventricular tachycardia"
296,"adenosine","ICD10CM","I47.9","Bouveret (-Hoffman) syndrome"
296,"adenosine","ICD9CM","426.7","Anomalous av excitation"
296,"adenosine","ICD9CM","427.2","Parox tachycardia NOS"
318,"adenosine triphosphate","ICD10CM","I45.6","Pre-excitation syndrome"
318,"adenosine triphosphate","ICD10CM","I45.9","Conduction disorder, unspecified"
318,"adenosine triphosphate","ICD10CM","I47","Paroxysmal tachycardia"
318,"adenosine triphosphate","ICD10CM","I47.1","Supraventricular tachycardia"
318,"adenosine triphosphate","ICD10CM","I47.2","Ventricular tachycardia"
318,"adenosine triphosphate","ICD10CM","I47.9","Bouveret (-Hoffman) syndrome"
318,"adenosine triphosphate","ICD9CM","426.7","Anomalous av excitation"
318,"adenosine triphosphate","ICD9CM","427.2","Parox tachycardia NOS"
376,"corticotropin","ICD10CM","B73.00","Onchocerciasis with eye involvement, unspecified"
376,"corticotropin","ICD10CM","D80-D89","sarcoidosis"
376,"corticotropin","ICD10CM","D86","Sarcoidosis"
376,"corticotropin","ICD10CM","D86.9","Sarcoidosis, unspecified"
376,"corticotropin","ICD10CM","E27.9","Disorder of adrenal gland, unspecified"
376,"corticotropin","ICD10CM","G35","Generalized multiple sclerosis"
376,"corticotropin","ICD10CM","G40.82","Infantile spasms"
376,"corticotropin","ICD10CM","G40.821","Epileptic spasms, not intractable, with status epilepticus"
376,"corticotropin","ICD10CM","G40.822","Epileptic spasms, not intractable, without status epilepticus"
376,"corticotropin","ICD10CM","H20.9","Unspecified iridocyclitis"
376,"corticotropin","ICD10CM","H44.119","Panuveitis, unspecified eye"
376,"corticotropin","ICD10CM","H44.139","Sympathetic uveitis, unspecified eye"
376,"corticotropin","ICD10CM","H46","Optic neuritis"
376,"corticotropin","ICD10CM","H46.9","Unspecified optic neuritis"
376,"corticotropin","ICD10CM","L51","Erythema multiforme"
376,"corticotropin","ICD10CM","L51.9","Erythema multiforme, unspecified"
376,"corticotropin","ICD10CM","M32","Systemic lupus erythematosus (SLE)"
376,"corticotropin","ICD10CM","M32.9","SLE NOS"
376,"corticotropin","ICD10CM","M35.9","Systemic involvement of connective tissue, unspecified"
376,"corticotropin","ICD10CM","M79.0","Rheumatism, unspecified"
376,"corticotropin","ICD10CM","N04","Nephrotic syndrome"
