Period,Level,Region,ICB,Org Code,Org Name,Metric,Type,Value
01/09/2025,ICB,NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,QWO,West Yorkshire ICB,G&A beds available,Type 1,4508
01/09/2025,ICB,NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,QYG,Cheshire and Merseyside ICB,G&A beds available,Type 1,5544
01/09/2025,ICB,NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,QOP,Greater Manchester ICB,G&A beds available,Type 1,5695
01/09/2025,ICB,NORTH WEST,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,QE1,Lancashire and South Cumbria ICB,G&A beds available,Type 1,2901
01/09/2025,ICB,SOUTH EAST,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",G&A beds available,Type 1,1989
01/09/2025,ICB,SOUTH EAST,NHS FRIMLEY INTEGRATED CARE BOARD,QNQ,Frimley ICB,G&A beds available,Type 1,1261
01/09/2025,ICB,SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,QRL,Hampshire and Isle of Wight ICB,G&A beds available,Type 1,3269
01/09/2025,ICB,SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,QKS,Kent and Medway ICB,G&A beds available,Type 1,2855
01/09/2025,ICB,SOUTH EAST,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,QXU,Surrey Heartlands ICB,G&A beds available,Type 1,1598
01/09/2025,ICB,SOUTH EAST,NHS SUSSEX INTEGRATED CARE BOARD,QNX,Sussex ICB,G&A beds available,Type 1,2524
01/09/2025,ICB,SOUTH WEST,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",QOX,"Bath and North East Somerset, Swindon and Wiltshire ICB",G&A beds available,Type 1,1526
01/09/2025,ICB,SOUTH WEST,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",QUY,"Bristol, North Somerset and South Gloucestershire ICB",G&A beds available,Type 1,1959
01/09/2025,ICB,SOUTH WEST,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,QT6,Cornwall and the Isles of Scilly ICB,G&A beds available,Type 1,644
01/09/2025,ICB,SOUTH WEST,NHS DEVON INTEGRATED CARE BOARD,QJK,Devon ICB,G&A beds available,Type 1,2558
01/09/2025,ICB,SOUTH WEST,NHS DORSET INTEGRATED CARE BOARD,QVV,Dorset ICB,G&A beds available,Type 1,1375
01/09/2025,ICB,SOUTH WEST,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,QR1,Gloucestershire ICB,G&A beds available,Type 1,857
01/09/2025,ICB,SOUTH WEST,NHS SOMERSET INTEGRATED CARE BOARD,QSL,Somerset ICB,G&A beds available,Type 1,958
01/09/2025,National,[z],[z],ENG,England,G&A beds available,All Type,100615
01/09/2025,Region,EAST OF ENGLAND,[z],Y61,East of England,G&A beds available,All Type,10831
01/09/2025,Region,LONDON,[z],Y56,London,G&A beds available,All Type,14899
01/09/2025,Region,MIDLANDS,[z],Y60,Midlands,G&A beds available,All Type,19329
01/09/2025,Region,NORTH EAST AND YORKSHIRE,[z],Y63,North East and Yorkshire,G&A beds available,All Type,17407
01/09/2025,Region,NORTH WEST,[z],Y62,North West,G&A beds available,All Type,14736
01/09/2025,Region,SOUTH EAST,[z],Y59,South East,G&A beds available,All Type,13537
01/09/2025,Region,SOUTH WEST,[z],Y58,South West,G&A beds available,All Type,9876
01/09/2025,ICB,EAST OF ENGLAND,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",QHG,"Bedfordshire, Luton and Milton Keynes ICB",G&A beds available,All Type,1601
01/09/2025,ICB,EAST OF ENGLAND,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,QUE,Cambridgeshire and Peterborough ICB,G&A beds available,All Type,2223
01/09/2025,ICB,EAST OF ENGLAND,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,QM7,Hertfordshire and West Essex ICB,G&A beds available,All Type,1664
01/09/2025,ICB,EAST OF ENGLAND,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,QH8,Mid and South Essex ICB,G&A beds available,All Type,1714
01/09/2025,ICB,EAST OF ENGLAND,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,QMM,Norfolk and Waveney ICB,G&A beds available,All Type,1877
01/09/2025,ICB,EAST OF ENGLAND,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,QJG,Suffolk and North East Essex ICB,G&A beds available,All Type,1753
01/09/2025,ICB,LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,QMJ,North Central London ICB,G&A beds available,All Type,2897
01/09/2025,ICB,LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,QMF,North East London ICB,G&A beds available,All Type,2906
01/09/2025,ICB,LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,QRV,North West London ICB,G&A beds available,All Type,3172
01/09/2025,ICB,LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,QKK,South East London ICB,G&A beds available,All Type,3524
01/09/2025,ICB,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,QWE,South West London ICB,G&A beds available,All Type,2400
01/09/2025,ICB,MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,Birmingham and Solihull ICB,G&A beds available,All Type,2898
01/09/2025,ICB,MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,QUA,Black Country ICB,G&A beds available,All Type,2530
01/09/2025,ICB,MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,QWU,Coventry and Warwickshire ICB,G&A beds available,All Type,1871
01/09/2025,ICB,MIDLANDS,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,QJ2,Derby and Derbyshire ICB,G&A beds available,All Type,1989
01/09/2025,ICB,MIDLANDS,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,QGH,Herefordshire and Worcestershire ICB,G&A beds available,All Type,1237
01/09/2025,ICB,MIDLANDS,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",QK1,"Leicester, Leicestershire and Rutland ICB",G&A beds available,All Type,1800
01/09/2025,ICB,MIDLANDS,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,QJM,Lincolnshire ICB,G&A beds available,All Type,1035
01/09/2025,ICB,MIDLANDS,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,QPM,Northamptonshire ICB,G&A beds available,All Type,1233
01/09/2025,ICB,MIDLANDS,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,QT1,Nottingham and Nottinghamshire ICB,G&A beds available,All Type,2369
01/09/2025,ICB,MIDLANDS,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",QOC,"Shropshire, Telford and Wrekin ICB",G&A beds available,All Type,966
01/09/2025,ICB,MIDLANDS,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,QNC,Staffordshire and Stoke on Trent ICB,G&A beds available,All Type,1400
01/09/2025,ICB,NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,QOQ,Humber and North Yorkshire ICB,G&A beds available,All Type,2927
01/09/2025,ICB,NORTH EAST AND YORKSHIRE,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,QHM,North East and North Cumbria STP,G&A beds available,All Type,6708
01/09/2025,ICB,NORTH EAST AND YORKSHIRE,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,QF7,South Yorkshire ICB,G&A beds available,All Type,3265
01/09/2025,ICB,NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,QWO,West Yorkshire ICB,G&A beds available,All Type,4508
01/09/2025,ICB,NORTH WEST,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,QYG,Cheshire and Merseyside ICB,G&A beds available,All Type,5961
01/09/2025,ICB,NORTH WEST,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,QOP,Greater Manchester ICB,G&A beds available,All Type,5875
01/09/2025,ICB,NORTH WEST,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,QE1,Lancashire and South Cumbria ICB,G&A beds available,All Type,2901
01/09/2025,ICB,SOUTH EAST,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",QU9,"Buckinghamshire, Oxfordshire and Berkshire West ICB",G&A beds available,All Type,1989
01/09/2025,ICB,SOUTH EAST,NHS FRIMLEY INTEGRATED CARE BOARD,QNQ,Frimley ICB,G&A beds available,All Type,1261
01/09/2025,ICB,SOUTH EAST,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,QRL,Hampshire and Isle of Wight ICB,G&A beds available,All Type,3269
01/09/2025,ICB,SOUTH EAST,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,QKS,Kent and Medway ICB,G&A beds available,All Type,2855
01/09/2025,ICB,SOUTH EAST,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,QXU,Surrey Heartlands ICB,G&A beds available,All Type,1598
01/09/2025,ICB,SOUTH EAST,NHS SUSSEX INTEGRATED CARE BOARD,QNX,Sussex ICB,G&A beds available,All Type,2565
01/09/2025,ICB,SOUTH WEST,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",QOX,"Bath and North East Somerset, Swindon and Wiltshire ICB",G&A beds available,All Type,1526
01/09/2025,ICB,SOUTH WEST,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",QUY,"Bristol, North Somerset and South Gloucestershire ICB",G&A beds available,All Type,1959
01/09/2025,ICB,SOUTH WEST,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,QT6,Cornwall and the Isles of Scilly ICB,G&A beds available,All Type,644
01/09/2025,ICB,SOUTH WEST,NHS DEVON INTEGRATED CARE BOARD,QJK,Devon ICB,G&A beds available,All Type,2558
01/09/2025,ICB,SOUTH WEST,NHS DORSET INTEGRATED CARE BOARD,QVV,Dorset ICB,G&A beds available,All Type,1375
01/09/2025,ICB,SOUTH WEST,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,QR1,Gloucestershire ICB,G&A beds available,All Type,857
01/09/2025,ICB,SOUTH WEST,NHS SOMERSET INTEGRATED CARE BOARD,QSL,Somerset ICB,G&A beds available,All Type,958
01/09/2025,Provider,EAST OF ENGLAND,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",RC9,Bedfordshire Hospitals NHS Foundation Trust,G&A beds available,Type 1,1057
01/09/2025,Provider,EAST OF ENGLAND,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",RD8,Milton Keynes University Hospital NHS Foundation Trust,G&A beds available,Type 1,544
01/09/2025,Provider,EAST OF ENGLAND,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,RGM,Royal Papworth Hospital NHS Foundation Trust,G&A beds available,Other,184
01/09/2025,Provider,EAST OF ENGLAND,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,RGN,North West Anglia NHS Foundation Trust,G&A beds available,Type 1,950
01/09/2025,Provider,EAST OF ENGLAND,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,RGT,Cambridge University Hospitals NHS Foundation Trust,G&A beds available,Type 1,1088
01/09/2025,Provider,EAST OF ENGLAND,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,RQW,The Princess Alexandra Hospital NHS Trust,G&A beds available,Type 1,464
01/09/2025,Provider,EAST OF ENGLAND,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,RWG,West Hertfordshire Teaching Hospitals NHS Trust,G&A beds available,Type 1,622
01/09/2025,Provider,EAST OF ENGLAND,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,RWH,East and North Hertfordshire NHS Trust,G&A beds available,Type 1,579
01/09/2025,Provider,EAST OF ENGLAND,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,RAJ,Mid and South Essex NHS Foundation Trust,G&A beds available,Type 1,1714
01/09/2025,Provider,EAST OF ENGLAND,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",G&A beds available,Type 1,504
01/09/2025,Provider,EAST OF ENGLAND,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,RGP,James Paget University Hospitals NHS Foundation Trust,G&A beds available,Type 1,460
01/09/2025,Provider,EAST OF ENGLAND,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,G&A beds available,Type 1,913
01/09/2025,Provider,EAST OF ENGLAND,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,RDE,East Suffolk and North Essex NHS Foundation Trust,G&A beds available,Type 1,1293
01/09/2025,Provider,EAST OF ENGLAND,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,RGR,West Suffolk NHS Foundation Trust,G&A beds available,Type 1,460
01/09/2025,Provider,LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,RAL,Royal Free London NHS Foundation Trust,G&A beds available,Type 1,1490
01/09/2025,Provider,LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,RAN,Royal National Orthopaedic Hospital NHS Trust,G&A beds available,Other,173
01/09/2025,Provider,LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,RKE,Whittington Health NHS Trust,G&A beds available,Type 1,235
01/09/2025,Provider,LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,G&A beds available,Other,263
01/09/2025,Provider,LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,RP6,Moorfields Eye Hospital NHS Foundation Trust,G&A beds available,Other,10
01/09/2025,Provider,LONDON,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,RRV,University College London Hospitals NHS Foundation Trust,G&A beds available,Type 1,725
01/09/2025,Provider,LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,R1H,Barts Health NHS Trust,G&A beds available,Type 1,1661
01/09/2025,Provider,LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",G&A beds available,Type 1,986
01/09/2025,Provider,LONDON,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,RQX,Homerton Healthcare NHS Foundation Trust,G&A beds available,Type 1,258
01/09/2025,Provider,LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,R1K,London North West University Healthcare NHS Trust,G&A beds available,Type 1,1070
01/09/2025,Provider,LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,RAS,The Hillingdon Hospitals NHS Foundation Trust,G&A beds available,Type 1,291
01/09/2025,Provider,LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,RQM,Chelsea and Westminster Hospital NHS Foundation Trust,G&A beds available,Type 1,773
01/09/2025,Provider,LONDON,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,RYJ,Imperial College Healthcare NHS Trust,G&A beds available,Type 1,1038
01/09/2025,Provider,LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJ1,Guy's and St Thomas' NHS Foundation Trust,G&A beds available,Type 1,1213
01/09/2025,Provider,LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJ2,Lewisham and Greenwich NHS Trust,G&A beds available,Type 1,961
01/09/2025,Provider,LONDON,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,RJZ,King's College Hospital NHS Foundation Trust,G&A beds available,Type 1,1350
01/09/2025,Provider,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RAX,Kingston Hospital NHS Foundation Trust,G&A beds available,Type 1,367
01/09/2025,Provider,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RJ6,Croydon Health Services NHS Trust,G&A beds available,Type 1,428
01/09/2025,Provider,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RJ7,St George's University Hospitals NHS Foundation Trust,G&A beds available,Type 1,795
01/09/2025,Provider,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RPY,The Royal Marsden NHS Foundation Trust,G&A beds available,Other,208
01/09/2025,Provider,LONDON,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,RVR,Epsom and St Helier University Hospitals NHS Trust,G&A beds available,Type 1,602
01/09/2025,Provider,MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,RQ3,Birmingham Women's and Children's NHS Foundation Trust,G&A beds available,Type 1,315
01/09/2025,Provider,MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,G&A beds available,Other,83
01/09/2025,Provider,MIDLANDS,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,RRK,University Hospitals Birmingham NHS Foundation Trust,G&A beds available,Type 1,2501
01/09/2025,Provider,MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,RBK,Walsall Healthcare NHS Trust,G&A beds available,Type 1,511
01/09/2025,Provider,MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,RL4,The Royal Wolverhampton NHS Trust,G&A beds available,Type 1,812
01/09/2025,Provider,MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,RNA,The Dudley Group NHS Foundation Trust,G&A beds available,Type 1,648
01/09/2025,Provider,MIDLANDS,NHS BLACK COUNTRY INTEGRATED CARE BOARD,RXK,Sandwell and West Birmingham Hospitals NHS Trust,G&A beds available,Type 1,559
01/09/2025,Provider,MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,RJC,South Warwickshire NHS Foundation Trust,G&A beds available,Type 1,420
01/09/2025,Provider,MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,RKB,University Hospitals Coventry and Warwickshire NHS Trust,G&A beds available,Type 1,1061
01/09/2025,Provider,MIDLANDS,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,RLT,George Eliot Hospital NHS Trust,G&A beds available,Type 1,391
01/09/2025,Provider,MIDLANDS,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,RFS,Chesterfield Royal Hospital NHS Foundation Trust,G&A beds available,Type 1,535
01/09/2025,Provider,MIDLANDS,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RTG,University Hospitals of Derby and Burton NHS Foundation Trust,G&A beds available,Type 1,1454
01/09/2025,Provider,MIDLANDS,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,RLQ,Wye Valley NHS Trust,G&A beds available,Type 1,360
01/09/2025,Provider,MIDLANDS,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,RWP,Worcestershire Acute Hospitals NHS Trust,G&A beds available,Type 1,878
01/09/2025,Provider,MIDLANDS,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",RWE,University Hospitals of Leicester NHS Trust,G&A beds available,Type 1,1800
01/09/2025,Provider,MIDLANDS,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,RWD,United Lincolnshire Hospitals NHS Trust,G&A beds available,Type 1,1035
01/09/2025,Provider,MIDLANDS,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RNQ,Kettering General Hospital NHS Foundation Trust,G&A beds available,Type 1,528
01/09/2025,Provider,MIDLANDS,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,RNS,Northampton General Hospital NHS Trust,G&A beds available,Type 1,705
01/09/2025,Provider,MIDLANDS,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RK5,Sherwood Forest Hospitals NHS Foundation Trust,G&A beds available,Type 1,671
01/09/2025,Provider,MIDLANDS,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,RX1,Nottingham University Hospitals NHS Trust,G&A beds available,Type 1,1699
01/09/2025,Provider,MIDLANDS,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,G&A beds available,Other,149
01/09/2025,Provider,MIDLANDS,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",RXW,The Shrewsbury and Telford Hospital NHS Trust,G&A beds available,Type 1,818
01/09/2025,Provider,MIDLANDS,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,RJE,University Hospitals of North Midlands NHS Trust,G&A beds available,Type 1,1400
01/09/2025,Provider,NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,G&A beds available,Type 1,880
01/09/2025,Provider,NORTH EAST AND YORKSHIRE,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,RCD,Harrogate and District NHS Foundation Trust,G&A beds available,Type 1,303
01/09/2025,Provider,NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RJL,Northern Lincolnshire and Goole NHS Foundation Trust,G&A beds available,Type 1,608
01/09/2025,Provider,NORTH EAST AND YORKSHIRE,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,RWA,Hull University Teaching Hospitals NHS Trust,G&A beds available,Type 1,1136
